"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
202.0,-6.4477300,-5.097880,-10.6471000,-7.929420,16.066300,-8.97101000,-12.4216000,-2.1383600,-1.5516300,-10.79090000,-5.0887800,-7.7318200
201.0,-6.7188000,-5.313310,-10.9332000,-8.343560,16.546200,-9.45465000,-13.0296000,-1.3133400,-1.6347700,-11.12020000,-5.2861400,-8.0032700
200.0,-6.6207500,-5.336300,-11.0328000,-8.607090,16.497700,-9.69179000,-13.5016000,-0.1000950,-1.6573300,-11.01000000,-5.2472000,-8.1602500
199.0,-6.5087900,-5.202630,-10.9007000,-8.691500,15.773500,-9.60299000,-13.5428000,1.3824500,-1.4615500,-10.52950000,-5.0932700,-8.2573900
198.0,-6.3142200,-5.017590,-10.5261000,-8.797500,14.447200,-9.28150000,-13.3366000,2.7338600,-1.2561600,-10.00880000,-4.9561500,-8.2570600
197.0,-5.9183500,-4.786350,-10.1573000,-8.529420,12.961200,-8.76291000,-12.9505000,4.0496000,-0.9442010,-9.33507000,-4.7095800,-7.8999300
196.0,-5.4476000,-4.568390,-9.5260100,-8.239030,11.003600,-8.08984000,-12.4168000,5.4208300,-0.4622600,-8.38509000,-4.4288700,-7.3819700
195.0,-5.3213700,-4.291000,-8.9114000,-8.007740,8.801980,-7.50826000,-11.8493000,6.0630400,-0.0529088,-7.46532000,-4.1670500,-6.9799700
194.0,-5.2302800,-4.151000,-8.3946000,-7.807810,6.859690,-6.89057000,-11.3671000,6.1995900,0.1725240,-6.68186000,-4.1026000,-6.6323200
193.0,-4.9482300,-4.061480,-7.8686300,-7.519020,5.018990,-6.41251000,-10.6004000,6.0528100,0.3890250,-5.65130000,-3.9074900,-6.0825600
192.0,-4.7587000,-3.894190,-7.1527800,-7.359890,3.041050,-5.92165000,-9.7436000,5.3895500,0.5830240,-4.45658000,-3.8161100,-5.8891300
191.0,-4.6342600,-3.782010,-6.6882200,-7.274920,1.542900,-5.49980000,-9.1587300,4.5131800,0.6112110,-3.59833000,-3.6926700,-5.8143300
190.0,-4.4133000,-3.764300,-6.2907300,-7.120920,0.515550,-5.07394000,-8.5532200,3.9116000,0.6236160,-2.95921000,-3.6493300,-5.6273600
