"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
235.0,-2.51089000,-9.85072000,-1.01165000,-4.2051400,-4.3707500,-4.41438000,-3.64849000,-1.63701000,-4.6217200,-7.90702000,-5.74056000,-5.69047000
234.0,-2.96621000,-11.50910000,-1.17042000,-4.8010200,-5.1303100,-4.96236000,-4.20941000,-1.54711000,-5.3173800,-9.09919000,-6.70534000,-6.50739000
233.0,-3.44468000,-13.31480000,-1.41626000,-5.4942400,-5.9690300,-5.56535000,-4.77500000,-1.39798000,-6.0868200,-10.31410000,-7.71895000,-7.39440000
232.0,-3.91200000,-15.17760000,-1.62884000,-6.2368400,-6.8547400,-6.15451000,-5.39150000,-1.20706000,-6.9078800,-11.45480000,-8.78969000,-8.25406000
231.0,-4.37916000,-16.99830000,-1.82742000,-6.9145400,-7.7307600,-6.72246000,-6.01431000,-0.89599700,-7.6519300,-12.52120000,-9.89263000,-9.11883000
230.0,-4.80975000,-18.72560000,-1.96064000,-7.5599400,-8.5594400,-7.33947000,-6.51166000,-0.58698100,-8.3412500,-13.38700000,-10.88320000,-9.96999000
229.0,-5.21749000,-20.46030000,-2.06964000,-8.2581400,-9.4626800,-7.95798000,-6.98738000,-0.39046600,-9.0864100,-14.16600000,-11.82900000,-10.79700000
228.0,-5.59995000,-22.13070000,-2.20578000,-8.9144300,-10.3687000,-8.49796000,-7.54026000,-0.34438100,-9.7583200,-14.76130000,-12.73070000,-11.65150000
227.0,-5.89417000,-23.59600000,-2.37133000,-9.4195600,-11.1834000,-8.88283000,-7.99496000,-0.34278000,-10.2647000,-15.12110000,-13.52340000,-12.46900000
226.0,-6.14535000,-24.92690000,-2.54212000,-9.8255200,-11.9754000,-9.27183000,-8.39036000,-0.58337600,-10.8231000,-15.30260000,-14.15280000,-13.33790000
