"λ (nm)",AT1,AT2,AT3,AT4,AT5,NE1,NE2,NE3,NE4,NG1,NG2,NG3
202.0,7.7033200,14.92890000,-8.0475100,24.6171000,20.072700,16.93840000,13.3451000,26.2429000,12.11790000,15.6112000,6.389430,22.37610000
201.0,8.2355800,16.40780000,-7.7701100,26.7092000,22.271000,20.73020000,14.0087000,28.7304000,13.21440000,20.7419000,8.966940,23.00350000
200.0,8.5914600,17.23480000,-7.3175200,27.8284000,23.960800,24.70270000,14.2787000,30.7117000,13.92770000,25.7289000,11.590200,22.91360000
199.0,8.5067200,17.55530000,-6.6161400,27.9168000,25.206100,28.04970000,14.4356000,32.2548000,14.55830000,30.4562000,14.118800,22.23140000
198.0,7.9062100,17.29190000,-5.5890000,27.2334000,25.726400,30.57800000,14.4759000,33.0620000,15.59550000,34.7869000,16.182000,20.43920000
197.0,7.1398100,16.66900000,-4.8223200,25.9081000,25.646600,32.00240000,14.4023000,33.0383000,16.80070000,38.2532000,17.817300,18.31840000
196.0,6.5509900,15.63790000,-3.9950700,24.1624000,24.927300,32.56430000,14.3537000,32.2283000,17.92430000,40.9563000,19.060300,16.08790000
195.0,5.8654700,14.48620000,-3.2297100,22.3015000,23.710300,31.48690000,14.2433000,30.4485000,19.22040000,42.2906000,19.640000,14.00510000
194.0,5.3308400,13.19100000,-2.2450400,20.6375000,21.866900,29.94770000,14.0143000,27.7948000,20.30650000,42.2932000,19.992000,11.70400000
193.0,4.9401300,11.78310000,-1.4699300,19.0305000,19.806500,27.37530000,13.7540000,24.3198000,20.92490000,41.5826000,19.898000,9.78134000
192.0,4.6284200,10.12780000,-0.5190010,16.9046000,17.432200,24.38480000,13.5177000,20.1418000,20.92380000,40.0435000,19.558900,8.38467000
191.0,4.2256900,8.77653000,0.1366060,15.1762000,15.409400,21.67940000,13.3135000,16.4737000,20.86330000,38.4258000,19.086100,7.20351000
190.0,3.9117800,7.71540000,0.6304610,13.8122000,13.809400,19.68080000,13.2161000,13.5436000,20.52690000,37.1798000,18.761000,6.12023000
