SequenceLength,SampleNo,WallClockTime,CPUTime,LogWallClockTime,LogSequenceLength
30,56,0.906970501,0.907192867,-0.097645353,3.401197382
30,57,0.905928135,0.906130563,-0.098795297,3.401197382
30,58,0.908504248,0.908720597,-0.095955715,3.401197382
30,59,0.90663147,0.90678927,-0.098019229,3.401197382
30,60,0.905369282,0.905583758,-0.099412372,3.401197382
30,61,0.905123949,0.905323759,-0.099683384,3.401197382
30,62,0.905540705,0.905774603,-0.09922305,3.401197382
30,63,0.906844378,0.907049607,-0.097784422,3.401197382
30,64,0.906407595,0.90662223,-0.09826619,3.401197382
30,65,0.907698393,0.907938749,-0.096843122,3.401197382
30,66,0.908008099,0.908413942,-0.096501981,3.401197382
30,67,0.910985947,0.911362344,-0.093227808,3.401197382
30,68,0.909659386,0.910110595,-0.094685051,3.401197382
30,69,0.909618616,0.909906245,-0.094729871,3.401197382
30,70,0.916131735,0.916903898,-0.087595109,3.401197382
30,71,0.910819769,0.911198249,-0.09341024,3.401197382
30,72,0.911396742,0.911723066,-0.092776975,3.401197382
30,73,0.914283514,0.914829758,-0.089614565,3.401197382
30,74,0.914611101,0.915072463,-0.08925633,3.401197382
30,75,0.956144094,0.956312281,-0.044846651,3.401197382
30,76,0.92904067,0.928824565,-0.073602763,3.401197382
30,77,0.907436848,0.907658349,-0.097131304,3.401197382
30,78,0.903746367,0.90399576,-0.101206525,3.401197382
30,79,0.902058125,0.902295237,-0.103076321,3.401197382
30,80,0.90353179,0.903880754,-0.101443984,3.401197382
30,81,0.915943623,0.916233313,-0.087800463,3.401197382
30,82,0.911734819,0.912264872,-0.0924061,3.401197382
30,83,0.908363342,0.90880908,-0.096110824,3.401197382
30,84,0.90861249,0.909136443,-0.095836579,3.401197382
30,85,0.910230637,0.910511889,-0.094057264,3.401197382
30,86,0.926779032,0.927128225,-0.076040111,3.401197382
30,87,0.921687841,0.921955838,-0.08154868,3.401197382
30,88,0.907141447,0.907437001,-0.097456891,3.401197382
30,89,0.906391621,0.906668176,-0.098283814,3.401197382
30,90,0.913409948,0.913737634,-0.090570487,3.401197382
30,91,0.907315969,0.907615806,-0.097264522,3.401197382
30,92,0.909007788,0.909321299,-0.095401617,3.401197382
30,93,0.909182072,0.909457982,-0.095209906,3.401197382
30,94,0.91297698,0.913272999,-0.091044612,3.401197382
30,95,0.926072121,0.92636985,-0.076803163,3.401197382
30,96,0.916150331,0.916492878,-0.087574811,3.401197382
30,97,0.910511494,0.910834166,-0.093748756,3.401197382
30,98,0.910076618,0.910351808,-0.094226487,3.401197382
30,99,0.90841341,0.908758452,-0.096055707,3.401197382
30,100,0.906174421,0.906467284,-0.098523474,3.401197382
50,1,0.916682005,0.916703933,-0.086994644,3.912023005
50,2,0.90932703,0.909619004,-0.095050481,3.912023005
50,3,0.914596796,0.914882885,-0.089271971,3.912023005
50,4,0.912132978,0.912409027,-0.09196949,3.912023005
50,5,0.9139359,0.914227765,-0.089994841,3.912023005
50,6,0.91404295,0.914277306,-0.089877717,3.912023005
50,7,0.913954735,0.914213404,-0.089974233,3.912023005
50,8,0.912856102,0.913137163,-0.091177021,3.912023005
50,9,0.908710957,0.908967663,-0.095728214,3.912023005
50,10,0.907861948,0.908091733,-0.096662952,3.912023005
50,11,0.90583849,0.906074913,-0.098894256,3.912023005
50,12,0.919999838,0.920270545,-0.083381785,3.912023005
50,13,0.912313461,0.91257293,-0.091771641,3.912023005
50,14,0.91281867,0.913023859,-0.091218027,3.912023005
50,15,0.91165328,0.91193667,-0.092495537,3.912023005
50,16,0.913281202,0.913526435,-0.090711448,3.912023005
50,17,0.912399769,0.912741298,-0.091677042,3.912023005
50,18,0.909404516,0.909676239,-0.094965272,3.912023005
50,19,0.910908937,0.911226043,-0.093312346,3.912023005
50,20,0.911376476,0.911598452,-0.092799211,3.912023005
50,21,0.91245842,0.912784302,-0.091612762,3.912023005
50,22,0.915311813,0.915542678,-0.088490493,3.912023005
50,23,0.923021555,0.923374273,-0.080102692,3.912023005
50,24,0.91674161,0.917194278,-0.086929624,3.912023005
50,25,0.911628723,0.911920744,-0.092522474,3.912023005
50,26,0.919133663,0.919837335,-0.084323723,3.912023005
